Estimate,Est Length,Bill No,Item,Height,Stretch,Length,Mbook,Pages,Date
PCC RW (7375-7525) L,150,Bill No. 09,Earthwork,4.6,7375-7412 (L),37,17009,21-22,23-04-25
PCC RW (7375-7525) L,150,Bill No. 08,Earthwork,4.6,7412-7475 (L),63,17009,11-12,28-03-25
PCC RW (7375-7525) L,150,Bill No. 06,Earthwork,2.6,7475-7525 (L),50,17009,1-2,02-03-25
PCC RW (7525-7600) B,150,Bill No. 06,Earthwork,2.6,7525-7550 (L),25,17009,1-2,02-03-25
PCC RW (7525-7600) B,150,Bill No. 08,Earthwork,2.6,7550-7575 (L),25,17009,11-12,28-03-25
PCC RW (7525-7600) B,150,Bill No. 08,Earthwork,3.8,7575-7600 (L),25,17009,11-12,28-03-25
PCC RW (7600-7700) B,200,Bill No. 15,Earthwork,3.8,7600-7630 (L),30,17009,41-42,28-10-25
PCC RW (7600-7700) B,200,Bill No. 09,Earthwork,3.8,7630-7650 (L),20,17009,21-22,23-04-25
PCC RW (7375-7525) M,150,Bill No. 09,Earthwork,2.1,7375-7410-M,35,17009,21-22,23-04-25
PCC RW (7375-7525) M,150,Bill No. 11,Earthwork,2.1,7410-7525-M,115,17009,31-32,27-06-25
PCC RW (7525-7600) B,150,Bill No. 15,Earthwork,2.1,7525-7533-R,8,17009,41-42,28-10-25
PCC RW (7525-7600) B,150,Bill No. 09,Earthwork,2.1,7533-7585-R,52,17009,21-22,23-04-25
PCC RW (7525-7600) B,150,Bill No. 15,Earthwork,2.1,7585-7600-R,15,17009,41-42,28-10-25
PCC RW (7600-7700) B,200,Bill No. 15,Earthwork,3.8,7600-7666-R,66,17009,41-42,28-10-25
PCC RW (7600-7700) B,200,Bill No. 11,Earthwork,3.8,7666-7700-R,34,17009,31-32,27-06-25
PCC RW (7700-7825) LL,125,Bill No. 11,Earthwork,3.8,7746-7800 (L),54,17009,31-32,27-06-25
PCC RW (7375-7525) L,150,Bill No. 09,PCC,4.6,7375-7412 (L),37,17009,23-24,26-04-25
PCC RW (7375-7525) L,150,Bill No. 08,PCC,4.6,7412-7475 (L),63,17009,13-14,30-03-25
PCC RW (7375-7525) L,150,Bill No. 06,PCC,2.6,7475-7525 (L),50,17009,3-4,04-03-25
PCC RW (7525-7600) B,75,Bill No. 06,PCC,2.6,7525-7550 (L),25,17009,3-4,04-03-25
PCC RW (7525-7600) B,75,Bill No. 08,PCC,2.6,7550-7575 (L),25,17009,13-14,30-03-25
PCC RW (7525-7600) B,75,Bill No. 08,PCC,3.8,7575-7600 (L),25,17009,13-14,30-03-25
PCC RW (7600-7700) B,100,Bill No. 15,PCC,3.8,7600-7630 (L),30,17009,43-44,30-10-25
PCC RW (7600-7700) B,100,Bill No. 09,PCC,3.8,7630-7650 (L),20,17009,23-24,26-04-25
PCC RW (7375-7525) M,150,Bill No. 09,PCC,2.1,7375-7410-M,35,17009,23-24,26-04-25
PCC RW (7375-7525) M,150,Bill No. 11,PCC,2.1,7410-7525-M,115,17009,33-34,01-07-25
PCC RW (7525-7600) B,75,Bill No. 15,PCC,2.1,7525-7533-R,8,17009,43-44,30-10-25
PCC RW (7525-7600) B,75,Bill No. 09,PCC,2.1,7533-7585-R,52,17009,23-24,26-04-25
PCC RW (7525-7600) B,75,Bill No. 15,PCC,2.1,7585-7600-R,15,17009,43-44,30-10-25
PCC RW (7600-7700) B,100,Bill No. 15,PCC,3.8,7600-7666-R,66,17009,43-44,30-10-25
PCC RW (7600-7700) B,100,Bill No. 11,PCC,3.8,7666-7700-R,34,17009,33-34,01-07-25
PCC RW (7700-7825) LL,300,Bill No. 11,PCC,3.8,7746-7800 (L),54,17009,33-34,01-07-25
PCC RW (7375-7525) L,150,Bill No. 09,Footing,4.6,7375-7412 (L),37,17009,25-26,03-05-25
PCC RW (7375-7525) L,150,Bill No. 08,Footing,4.6,7412-7475 (L),63,17009,15-16,03-04-25
PCC RW (7375-7525) L,150,Bill No. 06,Footing,2.6,7475-7525 (L),50,17009,5-6,06-03-25
PCC RW (7525-7600) B,75,Bill No. 06,Footing,2.6,7525-7550 (L),25,17009,5-6,06-03-25
PCC RW (7525-7600) B,75,Bill No. 08,Footing,2.6,7550-7575 (L),25,17009,15-16,03-04-25
PCC RW (7525-7600) B,75,Bill No. 08,Footing,3.8,7575-7600 (L),25,17009,15-16,03-04-25
PCC RW (7600-7700) B,100,Bill No. 15,Footing,3.8,7600-7630 (L),30,17009,45-46,04-11-25
PCC RW (7600-7700) B,100,Bill No. 09,Footing,3.8,7630-7650 (L),20,17009,25-26,03-05-25
PCC RW (7375-7525) M,150,Bill No. 09,Footing,2.1,7375-7410-M,35,17009,25-26,03-05-25
PCC RW (7375-7525) M,150,Bill No. 11,Footing,2.1,7410-7525-M,115,17009,35-36,10-07-25
PCC RW (7525-7600) B,75,Bill No. 15,Footing,2.1,7525-7533-R,8,17009,45-46,04-11-25
PCC RW (7525-7600) B,75,Bill No. 09,Footing,2.1,7533-7585-R,52,17009,25-26,03-05-25
PCC RW (7525-7600) B,75,Bill No. 15,Footing,2.1,7585-7600-R,15,17009,45-46,04-11-25
PCC RW (7600-7700) B,100,Bill No. 15,Footing,3.8,7600-7666-R,66,17009,45-46,04-11-25
PCC RW (7600-7700) B,100,Bill No. 11,Footing,3.8,7666-7700-R,34,17009,35-36,10-07-25
PCC RW (7700-7825) LL,300,Bill No. 11,Footing,3.8,7746-7800 (L),54,17009,35-36,10-07-25
PCC RW (7375-7525) L,150,Bill No. 09,Below Sill,4.6,7375-7412 (L),37,17009,27-28,08-05-25
PCC RW (7375-7525) L,150,Bill No. 08,Below Sill,4.6,7412-7475 (L),63,17009,17-18,06-04-25
PCC RW (7375-7525) L,150,Bill No. 06,Below Sill,2.6,7475-7525 (L),50,17009,7-8,09-03-25
PCC RW (7525-7600) B,75,Bill No. 06,Below Sill,2.6,7525-7550 (L),25,17009,7-8,09-03-25
PCC RW (7525-7600) B,75,Bill No. 08,Below Sill,2.6,7550-7575 (L),25,17009,17-18,06-04-25
PCC RW (7525-7600) B,75,Bill No. 08,Below Sill,3.8,7575-7600 (L),25,17009,17-18,06-04-25
PCC RW (7600-7700) B,100,Bill No. 15,Below Sill,3.8,7600-7630 (L),30,17009,47-48,07-11-25
PCC RW (7600-7700) B,100,Bill No. 09,Below Sill,3.8,7630-7650 (L),20,17009,27-28,08-05-25
PCC RW (7375-7525) M,150,Bill No. 09,Below Sill,2.1,7375-7410-M,35,17009,27-28,08-05-25
PCC RW (7375-7525) M,150,Bill No. 11,Below Sill,2.1,7410-7525-M,115,17009,37-38,14-07-25
PCC RW (7525-7600) B,75,Bill No. 15,Below Sill,2.1,7525-7533-R,8,17009,47-48,07-11-25
PCC RW (7525-7600) B,75,Bill No. 09,Below Sill,2.1,7533-7585-R,52,17009,27-28,08-05-25
PCC RW (7525-7600) B,75,Bill No. 15,Below Sill,2.1,7585-7600-R,15,17009,47-48,07-11-25
PCC RW (7600-7700) B,100,Bill No. 15,Below Sill,3.8,7600-7666-R,66,17009,47-48,07-11-25
PCC RW (7600-7700) B,100,Bill No. 11,Below Sill,3.8,7666-7700-R,34,17009,37-38,14-07-25
PCC RW (7700-7825) LL,300,Bill No. 11,Below Sill,3.8,7746-7800 (L),54,17009,37-38,14-07-25
PCC RW (7375-7525) L,150,Bill No. 09,Above Sill,4.6,7375-7412 (L),37,17009,29-30,15-05-25
PCC RW (7375-7525) L,150,Bill No. 08,Above Sill,4.6,7412-7475 (L),63,17009,19-20,10-04-25
PCC RW (7375-7525) L,150,Bill No. 06,Above Sill,2.6,7475-7525 (L),50,17009,9-10,11-03-25
PCC RW (7525-7600) B,75,Bill No. 06,Above Sill,2.6,7525-7550 (L),25,17009,9-10,11-03-25
PCC RW (7525-7600) B,75,Bill No. 08,Above Sill,2.6,7550-7575 (L),25,17009,19-20,10-04-25
PCC RW (7525-7600) B,75,Bill No. 08,Above Sill,3.8,7575-7600 (L),25,17009,19-20,10-04-25
PCC RW (7600-7700) B,100,Bill No. 15,Above Sill,3.8,7600-7630 (L),30,17009,49-50,13-11-25
PCC RW (7600-7700) B,100,Bill No. 09,Above Sill,3.8,7630-7650 (L),20,17009,29-30,15-05-25
PCC RW (7375-7525) M,150,Bill No. 09,Above Sill,2.1,7375-7410-M,35,17009,29-30,15-05-25
PCC RW (7375-7525) M,150,Bill No. 11,Above Sill,2.1,7410-7525-M,115,17009,39-40,21-07-25
PCC RW (7525-7600) B,75,Bill No. 15,Above Sill,2.1,7525-7533-R,8,17009,49-50,13-11-25
PCC RW (7525-7600) B,75,Bill No. 09,Above Sill,2.1,7533-7585-R,52,17009,29-30,15-05-25
PCC RW (7525-7600) B,75,Bill No. 15,Above Sill,2.1,7585-7600-R,15,17009,49-50,13-11-25
PCC RW (7600-7700) B,100,Bill No. 15,Above Sill,3.8,7600-7666-R,66,17009,49-50,13-11-25
PCC RW (7600-7700) B,100,Bill No. 11,Above Sill,3.8,7666-7700-R,34,17009,39-40,21-07-25
PCC RW (7700-7825) LL,300,Bill No. 11,Above Sill,3.8,7746-7800 (L),54,17009,39-40,21-07-25
